iter	Passed	Remaining
435	1601	2071
436	1605	2068
437	1612	2069
438	1615	2063
439	1617	2058
440	1619	2053
441	1621	2046
442	1625	2043
443	1633	2045
444	1635	2039
445	1636	2033
446	1638	2027
447	1640	2021
448	1641	2014
449	1642	2007
450	1643	2001
451	1645	1994
452	1649	1991
453	1656	1992
454	1658	1986
455	1660	1980
456	1661	1974
457	1663	1968
458	1666	1963
459	1675	1967
460	1677	1961
461	1679	1956
462	1682	1951
463	1684	1945
464	1685	1939
465	1687	1933
466	1689	1928
467	1690	1922
468	1704	1929
469	1707	1925
470	1710	1921
471	1720	1924
472	1722	1919
473	1732	1922
474	1736	1919
475	1739	1915
476	1741	1909
477	1743	1904
478	1747	1901
479	1756	1903
480	1758	1897
481	1760	1892
482	1762	1886
483	1764	1881
484	1766	1875
485	1769	1871
486	1773	1868
487	1781	1868
488	1783	1864
489	1785	1858
490	1787	1853
491	1789	1847
492	1790	1841
493	1792	1836
494	1794	1830
495	1795	1824
496	1801	1822
497	1807	1822
498	1809	1816
499	1811	1811
500	1812	1805
501	1814	1799
502	1815	1793
503	1816	1788
504	1818	1782
505	1819	1776
506	1820	1770
507	1821	1764
508	1831	1766
509	1833	1761
510	1835	1756
511	1836	1750
512	1838	1745
513	1839	1739
514	1841	1733
515	1842	1728
516	1843	1722
517	1845	1716
518	1850	1714
519	1856	1713
520	1858	1708
521	1860	1703
522	1861	1697
523	1863	1692
524	1864	1686
525	1865	1681
526	1867	1675
527	1868	1670
528	1869	1664
529	1870	1659
530	1871	1653
531	1880	1654
532	1883	1650
533	1885	1645
534	1886	1640
535	1888	1634
536	1889	1629
537	1891	1624
538	1892	1618
539	1893	1613
540	1894	1607
541	1895	1601
542	1896	1596
543	1897	1590
544	1898	1585
545	1900	1579
546	1909	1581
547	1911	1576
548	1913	1571
549	1915	1566
550	1916	1562
551	1918	1556
552	1919	1551
553	1921	1546
554	1922	1541
555	1924	1536
556	1926	1532
557	1927	1526
558	1928	1521
559	1929	1516
560	1930	1510
561	1931	1505
562	1933	1500
563	1942	1501
564	1944	1496
565	1945	1492
566	1948	1488
567	1950	1483
568	1951	1478
569	1953	1473
570	1954	1468
571	1955	1463
572	1957	1458
573	1964	1458
574	1969	1455
575	1971	1450
576	1973	1446
577	1974	1441
578	1976	1437
579	1978	1432
580	1980	1427
581	1981	1423
582	1982	1418
583	1984	1413
584	1985	1408
585	1992	1407
586	1997	1405
587	1998	1400
588	2000	1395
589	2002	1391
590	2003	1386
591	2005	1381
592	2006	1377
593	2016	1378
594	2018	1374
595	2021	1369
596	2023	1365
597	2024	1361
598	2026	1356
599	2027	1351
600	2029	1347
601	2033	1344
602	2041	1344
603	2044	1340
604	2046	1335
605	2048	1331
606	2049	1327
607	2051	1322
608	2053	1318
609	2054	1313
610	2055	1308
611	2057	1304
612	2058	1299
613	2060	1295
614	2066	1293
615	2071	1291
616	2073	1286
617	2074	1282
618	2076	1278
619	2078	1273
620	2079	1269
621	2080	1264
622	2082	1260
623	2093	1261
624	2095	1257
625	2097	1252
626	2098	1248
627	2100	1244
628	2102	1239
629	2103	1235
630	2108	1232
631	2115	1231
632	2117	1227
633	2119	1223
634	2121	1219
635	2122	1214
636	2123	1210
637	2125	1205
638	2126	1201
639	2127	1196
640	2129	1192
641	2130	1187
642	2131	1183
643	2132	1178
644	2133	1174
645	2134	1169
646	2135	1165
647	2139	1162
648	2147	1161
649	2149	1157
650	2151	1153
651	2152	1149
652	2154	1144
653	2155	1140
654	2157	1136
655	2158	1131
656	2160	1127
657	2161	1123
658	2162	1119
659	2163	1114
660	2164	1110
661	2165	1105
662	2166	1101
663	2168	1097
664	2170	1093
665	2178	1092
666	2180	1088
667	2182	1084
668	2184	1080
669	2186	1076
670	2187	1072
671	2189	1068
672	2190	1064
673	2192	1060
674	2196	1057
675	2204	1056
676	2205	1052
677	2207	1048
678	2209	1044
679	2210	1040
680	2212	1036
681	2213	1032
682	2214	1027
683	2216	1023
684	2217	1019
685	2220	1016
686	2229	1015
687	2230	1011
688	2232	1007
689	2234	1003
690	2235	999
691	2237	995
692	2238	991
693	2240	987
694	2241	983
695	2242	979
696	2243	975
697	2244	971
698	2245	967
699	2247	963
700	2248	958
701	2257	958
702	2260	954
703	2261	951
704	2263	947
705	2264	943
706	2266	939
707	2268	935
708	2269	931
709	2271	927
710	2273	923
711	2274	920
712	2275	916
713	2277	912
714	2278	908
715	2280	904
716	2281	900
717	2288	898
718	2293	896
719	2295	892
720	2298	889
721	2300	885
722	2301	881
723	2303	878
724	2304	874
725	2306	870
726	2307	866
727	2309	862
728	2310	858
729	2312	855
730	2313	851
731	2316	848
732	2324	846
733	2327	843
734	2329	839
735	2331	836
736	2332	832
737	2334	828
738	2335	824
739	2337	821
740	2339	817
741	2342	814
742	2350	813
743	2352	809
744	2354	805
745	2356	802
746	2358	798
747	2360	795
748	2361	791
749	2363	787
750	2364	784
751	2366	780
752	2370	777
753	2378	776
754	2380	772
755	2382	768
756	2383	765
757	2385	761
758	2387	757
759	2388	754
760	2390	750
761	2391	746
762	2392	743
763	2400	741
764	2404	738
765	2406	735
766	2407	731
767	2409	727
768	2411	724
769	2412	720
770	2414	717
771	2415	713
772	2416	709
773	2417	705
774	2420	702
775	2428	700
776	2429	697
777	2431	693
778	2432	690
779	2434	686
780	2435	682
781	2437	679
782	2438	675
783	2439	672
784	2440	668
785	2441	664
786	2442	661
787	2448	658
788	2457	657
789	2460	654
790	2462	650
791	2464	647
792	2465	643
793	2467	640
794	2468	636
795	2469	632
796	2482	632
797	2484	628
798	2486	625
799	2487	621
800	2492	619
801	2500	617
802	2501	613
803	2503	610
804	2505	606
805	2506	603
806	2508	599
807	2511	596
808	2521	595
809	2523	591
810	2525	588
811	2526	584
812	2528	581
813	2529	578
814	2531	574
815	2532	571
816	2540	569
817	2544	566
818	2546	562
819	2548	559
820	2549	555
821	2551	552
822	2552	548
823	2553	545
824	2555	542
825	2556	538
826	2558	535
827	2559	531
828	2570	530
829	2573	527
830	2575	523
831	2576	520
832	2578	516
833	2579	513
834	2581	510
835	2582	506
836	2583	503
837	2585	499
838	2586	496
839	2592	493
840	2597	491
841	2599	487
842	2601	484
843	2602	481
844	2603	477
845	2605	474
846	2606	470
847	2607	467
848	2612	464
849	2619	462
850	2621	458
851	2622	455
852	2624	452
853	2626	448
854	2627	445
855	2629	442
856	2630	438
857	2631	435
858	2633	432
859	2634	428
860	2635	425
861	2636	422
862	2637	418
863	2638	415
864	2643	412
865	2650	410
866	2652	406
867	2654	403
868	2656	400
869	2657	397
870	2659	393
871	2661	390
872	2662	387
873	2664	384
874	2665	380
875	2666	377
876	2668	374
877	2675	371
878	2680	368
879	2681	365
880	2683	362
881	2685	359
882	2686	355
883	2688	352
884	2689	349
885	2690	346
886	2691	342
887	2693	339
888	2694	336
889	2696	333
890	2706	331
891	2708	327
892	2710	324
893	2712	321
894	2714	318
895	2716	315
896	2717	312
897	2719	308
898	2720	305
899	2722	302
900	2723	299
901	2724	296
902	2729	293
903	2736	290
904	2738	287
905	2739	284
906	2741	281
907	2742	277
908	2744	274
909	2755	272
910	2757	269
911	2759	266
912	2761	263
913	2762	259
914	2764	256
915	2766	253
916	2767	250
917	2769	247
918	2770	244
919	2771	241
920	2772	237
921	2774	234
922	2784	232
923	2787	229
924	2788	226
925	2790	222
926	2791	219
927	2793	216
928	2794	213
929	2795	210
930	2796	207
931	2799	204
932	2808	201
933	2809	198
934	2811	195
935	2812	192
936	2814	189
937	2815	186
938	2817	183
939	2818	179
940	2819	176
941	2820	173
942	2822	170
943	2823	167
944	2824	164
945	2825	161
946	2826	158
947	2830	155
948	2837	152
949	2839	149
950	2841	146
951	2843	143
952	2844	140
953	2846	137
954	2847	134
955	2848	131
956	2850	128
957	2852	125
958	2861	122
959	2863	119
960	2865	116
961	2867	113
962	2869	110
963	2870	107
964	2872	104
965	2873	101
966	2875	98
967	2876	95
968	2877	92
969	2878	89
970	2879	86
971	2880	82
972	2886	80
973	2891	77
974	2892	74
975	2894	71
976	2895	68
977	2897	65
978	2898	62
979	2899	59
980	2900	56
981	2902	53
982	2903	50
983	2904	47
984	2905	44
985	2906	41
986	2907	38
987	2918	35
988	2920	32
989	2922	29
990	2923	26
991	2925	23
992	2926	20
993	2928	17
994	2929	14
995	2931	11
996	2932	8
997	2933	5
998	2934	2
999	2935	0
